44	8888888888882	2000-01-01 00:00:00	0.00	0.00	0.01	0.01	0.00	2018-07-26 09:34:36	2018-07-26 09:34:36	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 09:35:00.065
45	8888888888882	2000-01-01 00:00:00	15.80	2.49	4.98	4.99	0.00	2018-07-26 09:35:15	2018-07-26 09:35:15	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 09:35:00.077
46	8888888888882	2000-01-01 00:00:00	16.04	2.49	4.98	5.22	0.00	2018-07-26 09:35:55	2018-07-26 09:35:55	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 09:36:00.085
47	8888888888882	2000-01-01 00:00:00	16.04	2.50	5.00	4.90	0.00	2018-07-26 09:36:36	2018-07-26 09:36:36	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 09:37:00.085
48	8888888888883	2000-01-01 00:00:00	19.96	2.52	5.01	4.80	0.00	2018-07-26 09:38:04	2018-07-26 09:38:04	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 09:38:00.071
49	8888888888883	2000-01-01 00:00:00	20.00	2.52	5.02	4.84	0.00	2018-07-26 09:38:53	2018-07-26 09:38:53	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 09:39:00.053
50	8888888888883	2000-01-01 00:00:00	0.04	0.02	0.04	0.18	0.00	2018-07-26 09:44:07	2018-07-26 09:44:07	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 09:44:00.075
51	8888888888883	2000-01-01 00:00:00	-0.02	0.00	0.00	0.19	0.00	2018-07-26 09:44:52	2018-07-26 09:44:52	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 09:45:00.078
52	8888888888883	2000-01-01 00:00:00	0.00	0.00	0.00	0.17	0.00	2018-07-26 09:46:21	2018-07-26 09:46:21	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 09:46:00.053
53	8888888888883	2000-01-01 00:00:00	0.00	0.00	0.00	0.13	0.00	2018-07-26 09:47:14	2018-07-26 09:47:14	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 09:47:00.065
54	8888888888883	2000-01-01 00:00:00	0.00	0.00	0.00	-0.03	0.00	2018-07-26 09:48:02	2018-07-26 09:48:02	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 09:48:00.08
55	8888888888882	2000-01-01 00:00:00	0.00	0.00	0.00	0.04	0.00	2018-07-26 09:48:59	2018-07-26 09:48:59	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 09:49:00.056
56	8888888888882	2000-01-01 00:00:00	0.00	0.00	0.00	0.03	0.00	2018-07-26 09:49:38	2018-07-26 09:49:38	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 09:50:00.056
